iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,P_HTHAB,SE	4.35 	3.73 	3.46 	3.17 	2.55 	3.16 	3.00 	2.68 	2.73 	2.56 	2.64 	3.20 	2.95 	3.02 
ICCS0101,PER_CNV,M,P_HTHAB,SI	1.70 	1.43 	1.44 	3.21 	1.95 	1.76 	1.96 	3.23 	3.53 	2.16 	2.56 	1.48 	1.99 	2.74 
ICCS0101,PER_CNV,M,P_HTHAB,SK	1.58 	1.31 	1.05 	1.20 	1.02 	1.10 	1.02 	1.52 	1.37 	1.48 	1.45 	2.25 	1.57 	1.72 
ICCS0101,PER_CNV,M,P_HTHAB,TR	17.42 	13.55 	16.88 	16.06 	12.68 	14.10 	16.23 	15.97 	18.36 	46.04 	40.00 	42.21 	40.42 	: 
ICCS0101,PER_CNV,M,P_HTHAB,UKC-L	: 	: 	: 	: 	: 	0.94 	0.89 	1.14 	1.05 	1.17 	1.16 	1.20 	1.32 	1.55 
ICCS0101,PER_CNV,M,P_HTHAB,UKM	: 	: 	: 	: 	1.03 	0.99 	0.96 	1.16 	1.67 	1.79 	1.91 	1.69 	1.90 	2.23 
ICCS0101,PER_CNV,M,P_HTHAB,UKN	: 	: 	: 	: 	: 	0.77 	0.55 	0.78 	1.45 	0.90 	1.24 	1.59 	1.60 	1.15 
ICCS0101,PER_CNV,M,P_HTHAB,XK	: 	: 	10.84 	13.17 	: 	7.47 	: 	: 	: 	: 	9.51 	6.55 	6.63 	4.97 
ICCS0101,PER_CNV,T,NR,AL	96 	62 	73 	114 	95 	135 	168 	175 	56 	: 	: 	: 	: 	96 
ICCS0101,PER_CNV,T,NR,AT	39 	39 	33 	44 	24 	32 	25 	35 	33 	39 	29 	39 	20 	26 
ICCS0101,PER_CNV,T,NR,BA	113 	78 	72 	98 	101 	92 	79 	101 	177 	108 	109 	111 	104 	115 
ICCS0101,PER_CNV,T,NR,BE	: 	: 	86 	97 	96 	95 	86 	229 	249 	294 	246 	213 	: 	: 
