iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS03012,PER_PRSC,T,P_HTHAB,AL	2.08 	1.65 	2.13 	1.36 	1.56 	1.87 	1.42 	1.28 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,AT	35.66 	36.12 	40.46 	42.46 	44.77 	40.33 	34.83 	34.55 	36.74 	37.39 	40.74 	43.23 	65.11 	78.41 
ICCS03012,PER_PRSC,T,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.75 	2.11 	1.82 	0.55 	0.42 
ICCS03012,PER_PRSC,T,P_HTHAB,BE	: 	49.13 	48.92 	43.55 	42.34 	38.67 	36.01 	37.68 	39.11 	38.91 	41.06 	40.28 	37.61 	36.91 
ICCS03012,PER_PRSC,T,P_HTHAB,BG	: 	: 	: 	: 	: 	: 	2.29 	2.46 	2.61 	2.95 	2.65 	2.90 	2.04 	2.90 
ICCS03012,PER_PRSC,T,P_HTHAB,CY	: 	: 	5.82 	4.28 	2.92 	6.72 	5.19 	6.18 	5.66 	6.96 	3.93 	3.54 	5.52 	4.25 
ICCS03012,PER_PRSC,T,P_HTHAB,CZ	0.36 	0.39 	0.30 	0.32 	0.29 	0.28 	0.15 	0.17 	0.21 	0.23 	4.40 	5.03 	5.11 	5.44 
ICCS03012,PER_PRSC,T,P_HTHAB,DE	: 	: 	: 	: 	: 	8.99 	9.53 	9.65 	9.38 	9.82 	9.46 	10.01 	10.69 	11.64 
ICCS03012,PER_PRSC,T,P_HTHAB,DK	10.68 	11.18 	14.54 	8.35 	7.95 	6.54 	6.45 	5.88 	4.36 	5.68 	5.68 	5.82 	9.11 	8.16 
ICCS03012,PER_PRSC,T,P_HTHAB,EE	3.38 	3.01 	2.04 	2.35 	3.50 	2.66 	2.81 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,EL	4.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,FI	8.48 	6.84 	7.30 	7.29 	7.89 	7.56 	7.99 	8.51 	7.59 	8.31 	8.61 	8.56 	8.67 	9.38 
ICCS03012,PER_PRSC,T,P_HTHAB,FR	14.40 	12.63 	13.40 	12.91 	12.09 	11.52 	11.29 	11.42 	11.55 	11.95 	10.78 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,HR	3.54 	2.76 	2.53 	2.27 	2.50 	2.00 	9.35 	8.10 	8.12 	7.86 	8.90 	8.90 	9.00 	9.81 
ICCS03012,PER_PRSC,T,P_HTHAB,HU	: 	: 	: 	: 	: 	: 	1.31 	1.40 	2.17 	2.27 	2.05 	2.77 	2.32 	3.57 
ICCS03012,PER_PRSC,T,P_HTHAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.84 	6.21 	6.48 	5.49 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,IS	1.36 	3.57 	2.52 	1.15 	3.55 	: 	: 	: 	10.56 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,LI	5.12 	10.32 	: 	2.62 	7.93 	10.63 	5.35 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,LT	1.75 	1.50 	2.58 	2.46 	3.44 	4.15 	4.66 	4.76 	4.04 	4.26 	5.83 	4.65 	4.43 	3.30 
ICCS03012,PER_PRSC,T,P_HTHAB,LU	0.00 	0.00 	0.33 	0.33 	0.00 	0.17 	22.56 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,LV	3.70 	2.73 	3.39 	3.83 	2.41 	2.18 	3.78 	4.10 	4.10 	3.23 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,ME	4.99 	2.57 	3.54 	2.73 	1.29 	2.41 	1.77 	1.45 	2.09 	1.93 	2.90 	1.78 	3.40 	2.76 
ICCS03012,PER_PRSC,T,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	11.41 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,NL	4.24 	3.46 	4.04 	4.18 	4.07 	4.59 	3.93 	4.66 	4.98 	15.71 	14.92 	14.37 	14.76 	15.91 
ICCS03012,PER_PRSC,T,P_HTHAB,NO	4.79 	4.94 	4.97 	5.61 	5.02 	5.76 	4.74 	5.31 	5.42 	5.62 	5.87 	5.56 	4.71 	6.14 
ICCS03012,PER_PRSC,T,P_HTHAB,PL	0.87 	0.79 	2.30 	0.81 	0.96 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,PT	5.68 	4.60 	5.27 	5.17 	5.47 	5.28 	5.45 	4.20 	5.13 	5.49 	4.73 	4.68 	4.00 	4.23 
ICCS03012,PER_PRSC,T,P_HTHAB,RO	1.47 	1.24 	0.94 	1.02 	0.41 	0.39 	0.31 	0.11 	1.46 	1.24 	1.02 	0.86 	0.85 	0.98 
ICCS03012,PER_PRSC,T,P_HTHAB,RS	6.11 	5.38 	5.82 	5.37 	4.20 	3.15 	2.75 	2.98 	2.07 	: 	: 	: 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,SE	11.00 	10.55 	10.51 	9.92 	9.77 	8.55 	7.62 	7.57 	8.08 	7.34 	7.78 	8.52 	8.45 	8.72 
ICCS03012,PER_PRSC,T,P_HTHAB,SI	0.85 	0.43 	0.77 	0.92 	0.87 	0.78 	1.07 	0.58 	1.17 	4.91 	5.02 	4.89 	6.64 	6.82 
ICCS03012,PER_PRSC,T,P_HTHAB,SK	: 	0.92 	1.10 	1.62 	1.01 	7.80 	7.14 	8.49 	7.71 	9.10 	7.71 	6.44 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,TR	76.82 	65.57 	81.50 	68.76 	57.08 	53.59 	61.02 	60.20 	62.60 	45.43 	41.57 	37.78 	33.61 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,UKC-L	: 	: 	: 	: 	: 	: 	15.19 	14.63 	13.40 	11.63 	12.83 	13.38 	11.81 	10.91 
ICCS03012,PER_PRSC,T,P_HTHAB,UKM	: 	: 	: 	: 	10.88 	10.39 	10.72 	8.94 	8.53 	5.92 	4.13 	4.12 	4.14 	4.45 
ICCS03012,PER_PRSC,T,P_HTHAB,UKN	: 	: 	: 	: 	: 	13.07 	11.80 	13.50 	17.14 	13.52 	10.72 	10.89 	: 	: 
ICCS03012,PER_PRSC,T,P_HTHAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.90 	1.31 	1.33 	2.32 
ICCS03012,PER_SUSP,F,NR,AL	2 	0 	1 	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	3 
ICCS03012,PER_SUSP,F,NR,AT	39 	59 	60 	78 	46 	42 	48 	47 	41 	72 	77 	64 	135 	137 
ICCS03012,PER_SUSP,F,NR,BA	1 	3 	2 	: 	: 	: 	1 	2 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,BE	62 	67 	58 	30 	45 	24 	24 	650 	612 	563 	667 	715 	747 	632 
ICCS03012,PER_SUSP,F,NR,BG	19 	1 	13 	16 	10 	7 	9 	8 	5 	7 	10 	13 	8 	17 
ICCS03012,PER_SUSP,F,NR,CH	11 	16 	15 	5 	53 	37 	39 	38 	47 	0 	0 	0 	0 	1 
ICCS03012,PER_SUSP,F,NR,CY	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,CZ	57 	65 	75 	51 	43 	49 	57 	39 	48 	5 	1 	2 	1 	0 
ICCS03012,PER_SUSP,F,NR,DE	917 	775 	783 	607 	605 	624 	635 	656 	638 	569 	627 	690 	2180 	3028 
ICCS03012,PER_SUSP,F,NR,DK	1 	1 	3 	3 	2 	0 	1 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,ES	145 	125 	100 	119 	134 	47 	260 	341 	364 	335 	348 	445 	402 	440 
ICCS03012,PER_SUSP,F,NR,FI	77 	44 	110 	21 	22 	53 	35 	48 	47 	36 	26 	28 	30 	37 
ICCS03012,PER_SUSP,F,NR,FR	865 	694 	691 	565 	485 	440 	379 	375 	316 	258 	180 	212 	203 	: 
ICCS03012,PER_SUSP,F,NR,HR	2 	3 	0 	1 	3 	2 	2 	1 	1 	2 	2 	1 	10 	15 
ICCS03012,PER_SUSP,F,NR,HU	: 	: 	: 	: 	: 	: 	3 	7 	4 	16 	16 	17 	11 	0 
ICCS03012,PER_SUSP,F,NR,IE	: 	5 	6 	3 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,IT	: 	: 	: 	: 	: 	: 	103 	103 	111 	111 	91 	89 	110 	96 
ICCS03012,PER_SUSP,F,NR,LI	: 	: 	: 	: 	: 	0 	5 	0 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,LT	2 	0 	4 	1 	2 	1 	6 	5 	8 	2 	3 	4 	5 	1 
ICCS03012,PER_SUSP,F,NR,LU	: 	0 	: 	0 	18 	5 	63 	113 	84 	75 	85 	78 	80 	: 
ICCS03012,PER_SUSP,F,NR,LV	4 	2 	1 	5 	0 	1 	3 	3 	7 	3 	6 	2 	3 	0 
ICCS03012,PER_SUSP,F,NR,ME	0 	0 	0 	0 	1 	1 	3 	2 	1 	0 	1 	0 	0 	: 
ICCS03012,PER_SUSP,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,MT	: 	: 	: 	: 	: 	: 	4 	3 	6 	2 	5 	8 	1 	3 
ICCS03012,PER_SUSP,F,NR,NL	11 	6 	9 	4 	3 	5 	8 	4 	12 	105 	125 	130 	130 	185 
ICCS03012,PER_SUSP,F,NR,NO	10 	12 	7 	16 	3 	11 	9 	6 	11 	5 	8 	9 	8 	6 
ICCS03012,PER_SUSP,F,NR,PL	1 	3 	2 	2 	3 	4 	1 	2 	2 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,PT	47 	37 	40 	45 	51 	51 	50 	29 	37 	37 	50 	48 	269 	137 
ICCS03012,PER_SUSP,F,NR,RS	1 	4 	4 	0 	2 	2 	1 	3 	0 	10 	15 	23 	18 	17 
ICCS03012,PER_SUSP,F,NR,SE	148 	137 	113 	131 	110 	101 	91 	96 	86 	89 	90 	95 	75 	65 
ICCS03012,PER_SUSP,F,NR,SI	0 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 
ICCS03012,PER_SUSP,F,NR,SK	1 	0 	0 	0 	1 	1 	1 	0 	1 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,TR	738 	685 	599 	549 	427 	392 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,NR,UKC-L	: 	: 	: 	: 	: 	: 	627 	699 	691 	552 	568 	747 	: 	: 
ICCS03012,PER_SUSP,F,NR,UKN	: 	: 	: 	: 	: 	: 	6 	6 	6 	11 	6 	11 	1 	: 
ICCS03012,PER_SUSP,F,NR,XK	0 	1 	57 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,AL	0.14 	0.00 	0.07 	0.00 	0.00 	0.07 	0.00 	0.07 	: 	: 	0.00 	: 	0.00 	0.19 
ICCS03012,PER_SUSP,F,P_HTHAB,AT	0.86 	1.30 	1.33 	1.74 	1.03 	0.95 	1.10 	1.08 	0.95 	1.67 	1.79 	1.49 	3.16 	3.21 
ICCS03012,PER_SUSP,F,P_HTHAB,BE	1.06 	1.15 	1.00 	0.52 	0.78 	0.42 	0.42 	11.43 	10.79 	9.98 	11.91 	12.93 	13.62 	11.61 
ICCS03012,PER_SUSP,F,P_HTHAB,BG	0.53 	0.03 	0.36 	0.44 	0.27 	0.19 	0.24 	0.22 	0.13 	0.19 	0.26 	0.34 	0.21 	0.44 
ICCS03012,PER_SUSP,F,P_HTHAB,CH	0.25 	0.37 	0.35 	0.12 	1.25 	0.88 	0.94 	0.92 	1.15 	0.00 	0.00 	0.00 	0.00 	0.01 
ICCS03012,PER_SUSP,F,P_HTHAB,CY	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,CZ	1.05 	1.20 	1.39 	0.95 	0.80 	0.91 	1.06 	0.73 	0.90 	0.05 	0.01 	0.02 	0.01 	0.00 
ICCS03012,PER_SUSP,F,P_HTHAB,DE	2.18 	1.84 	1.86 	1.45 	1.45 	1.50 	1.54 	1.59 	1.55 	1.38 	1.53 	1.65 	5.21 	7.22 
ICCS03012,PER_SUSP,F,P_HTHAB,DK	0.03 	0.03 	0.10 	0.10 	0.07 	0.00 	0.04 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,ES	0.60 	0.52 	0.42 	0.50 	0.57 	0.20 	1.10 	1.44 	1.54 	1.41 	1.47 	1.89 	1.72 	1.91 
ICCS03012,PER_SUSP,F,P_HTHAB,EU_V	1.38 	1.15 	1.18 	0.96 	0.91 	0.85 	0.86 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,FI	2.75 	1.57 	3.94 	0.75 	0.79 	1.90 	1.26 	1.73 	1.70 	1.31 	0.95 	1.03 	1.11 	1.37 
ICCS03012,PER_SUSP,F,P_HTHAB,FR	2.48 	1.99 	1.99 	1.63 	1.41 	1.28 	1.11 	1.10 	0.93 	0.77 	0.54 	0.64 	0.61 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,HR	0.10 	0.14 	0.00 	0.05 	0.14 	0.09 	0.09 	0.05 	0.05 	0.09 	0.09 	0.04 	0.45 	0.67 
ICCS03012,PER_SUSP,F,P_HTHAB,HU	: 	: 	: 	: 	: 	: 	0.06 	0.14 	0.08 	0.31 	0.31 	0.32 	0.21 	0.00 
ICCS03012,PER_SUSP,F,P_HTHAB,IE	: 	0.20 	0.24 	0.12 	0.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,IT	: 	: 	: 	: 	: 	: 	0.33 	0.33 	0.36 	0.36 	0.30 	0.29 	0.36 	0.32 
ICCS03012,PER_SUSP,F,P_HTHAB,LI	: 	: 	: 	: 	: 	0.00 	26.58 	0.00 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,LT	0.13 	0.00 	0.27 	0.07 	0.13 	0.06 	0.38 	0.31 	0.50 	0.12 	0.18 	0.24 	0.29 	0.06 
ICCS03012,PER_SUSP,F,P_HTHAB,LU	: 	0.00 	: 	0.00 	6.12 	1.74 	22.42 	41.16 	31.27 	28.51 	33.05 	30.87 	32.17 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,LV	0.39 	0.19 	0.10 	0.48 	0.00 	0.09 	0.28 	0.28 	0.64 	0.27 	0.53 	0.17 	0.26 	0.00 
ICCS03012,PER_SUSP,F,P_HTHAB,ME	0.00 	0.00 	0.00 	0.00 	0.32 	0.32 	0.95 	0.64 	0.32 	0.00 	0.32 	0.00 	0.00 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	0.10 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	1.86 	1.41 	2.84 	0.95 	2.40 	3.85 	0.48 	1.46 
ICCS03012,PER_SUSP,F,P_HTHAB,NL	0.13 	0.07 	0.10 	0.05 	0.03 	0.06 	0.09 	0.05 	0.14 	1.24 	1.49 	1.55 	1.56 	2.23 
ICCS03012,PER_SUSP,F,P_HTHAB,NO	0.37 	0.45 	0.26 	0.61 	0.11 	0.43 	0.35 	0.24 	0.44 	0.10 	0.16 	0.19 	0.17 	0.13 
ICCS03012,PER_SUSP,F,P_HTHAB,PL	0.01 	0.02 	0.01 	0.01 	0.02 	0.02 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,PT	0.86 	0.68 	0.74 	0.83 	0.94 	0.94 	0.92 	0.53 	0.67 	0.67 	0.91 	0.87 	4.89 	2.50 
ICCS03012,PER_SUSP,F,P_HTHAB,RS	0.03 	0.11 	0.11 	0.00 	0.06 	0.06 	0.03 	0.08 	0.00 	0.27 	0.40 	0.61 	0.48 	0.45 
ICCS03012,PER_SUSP,F,P_HTHAB,SE	2.87 	2.67 	2.22 	2.60 	2.21 	2.05 	1.87 	1.99 	1.80 	0.94 	0.96 	1.02 	0.81 	0.71 
ICCS03012,PER_SUSP,F,P_HTHAB,SI	0.00 	0.00 	0.10 	0.00 	0.19 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.05 	0.00 
ICCS03012,PER_SUSP,F,P_HTHAB,SK	0.04 	0.00 	0.00 	0.00 	0.04 	0.04 	0.04 	0.00 	0.04 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,TR	1.77 	1.65 	1.47 	1.36 	1.07 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,UKC-L	: 	: 	: 	: 	: 	: 	2.14 	2.41 	2.40 	1.93 	2.00 	2.65 	: 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,UKN	: 	: 	: 	: 	: 	: 	0.64 	0.64 	0.64 	1.19 	0.65 	1.20 	0.11 	: 
ICCS03012,PER_SUSP,F,P_HTHAB,XK	: 	0.11 	6.26 	0.11 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,AL	70 	87 	73 	64 	70 	79 	82 	56 	49 	27 	25 	39 	35 	15 
ICCS03012,PER_SUSP,M,NR,AT	1767 	1646 	1862 	2128 	2029 	2201 	1481 	1544 	1505 	1948 	1866 	1651 	2361 	2770 
ICCS03012,PER_SUSP,M,NR,BA	61 	180 	64 	: 	: 	34 	25 	35 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,BE	851 	882 	1016 	894 	867 	749 	641 	3005 	2962 	2857 	3043 	3082 	3168 	3116 
ICCS03012,PER_SUSP,M,NR,BG	360 	330 	319 	352 	345 	232 	249 	248 	254 	269 	302 	332 	317 	364 
ICCS03012,PER_SUSP,M,NR,CH	586 	546 	498 	517 	1897 	1338 	1305 	1358 	1247 	82 	64 	71 	70 	61 
ICCS03012,PER_SUSP,M,NR,CY	6 	2 	1 	1 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,CZ	592 	487 	545 	537 	548 	540 	485 	506 	540 	664 	674 	584 	479 	529 
ICCS03012,PER_SUSP,M,NR,DE	22532 	22239 	22758 	22938 	18538 	19179 	17627 	18086 	18200 	18238 	19364 	19708 	27221 	33842 
ICCS03012,PER_SUSP,M,NR,DK	182 	190 	196 	157 	144 	134 	120 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,ES	7566 	5564 	6283 	6759 	6080 	3404 	5053 	4996 	4498 	4486 	4712 	4128 	4202 	4742 
ICCS03012,PER_SUSP,M,NR,FI	1715 	1353 	1457 	1100 	1136 	1205 	1295 	1377 	1275 	1844 	1328 	1091 	1315 	1422 
ICCS03012,PER_SUSP,M,NR,FR	26367 	20751 	20970 	19079 	16315 	15506 	11176 	10429 	9580 	9350 	7484 	7366 	7728 	: 
ICCS03012,PER_SUSP,M,NR,HR	190 	133 	142 	125 	120 	148 	164 	117 	157 	136 	160 	157 	247 	310 
ICCS03012,PER_SUSP,M,NR,HU	: 	: 	: 	: 	: 	: 	163 	202 	439 	461 	455 	537 	313 	180 
ICCS03012,PER_SUSP,M,NR,IE	: 	440 	401 	281 	480 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,IT	: 	: 	: 	: 	: 	: 	4004 	4312 	4306 	4306 	4559 	4466 	4415 	4566 
ICCS03012,PER_SUSP,M,NR,LI	: 	: 	: 	: 	: 	7 	16 	10 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,LT	48 	45 	72 	71 	97 	120 	158 	157 	125 	142 	199 	159 	149 	118 
ICCS03012,PER_SUSP,M,NR,LU	: 	0 	: 	0 	174 	157 	206 	231 	223 	228 	174 	181 	202 	: 
ICCS03012,PER_SUSP,M,NR,LV	97 	93 	89 	105 	91 	64 	132 	121 	108 	139 	132 	92 	94 	118 
ICCS03012,PER_SUSP,M,NR,ME	24 	14 	32 	12 	12 	15 	15 	21 	21 	18 	26 	37 	29 	0 
ICCS03012,PER_SUSP,M,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	110 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,MT	: 	: 	: 	: 	: 	: 	57 	38 	40 	49 	42 	50 	39 	29 
ICCS03012,PER_SUSP,M,NR,NL	680 	652 	813 	878 	824 	895 	808 	868 	1009 	4055 	4165 	4500 	4960 	5515 
ICCS03012,PER_SUSP,M,NR,NO	459 	477 	488 	487 	491 	512 	385 	389 	388 	375 	434 	384 	333 	381 
ICCS03012,PER_SUSP,M,NR,PL	193 	174 	201 	174 	197 	217 	181 	179 	179 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,PT	1092 	901 	988 	959 	929 	986 	938 	939 	931 	909 	936 	869 	1428 	1226 
ICCS03012,PER_SUSP,M,NR,RS	403 	287 	323 	287 	181 	285 	258 	270 	287 	251 	290 	297 	255 	241 
ICCS03012,PER_SUSP,M,NR,SE	4063 	4032 	4042 	3831 	3616 	3245 	2912 	2788 	2568 	2674 	2814 	2731 	2718 	2479 
ICCS03012,PER_SUSP,M,NR,SI	34 	60 	39 	58 	38 	37 	24 	35 	41 	40 	27 	57 	50 	41 
ICCS03012,PER_SUSP,M,NR,SK	49 	41 	51 	52 	61 	34 	55 	37 	44 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,TR	9940 	8584 	9251 	8143 	6740 	5890 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,NR,UKC-L	: 	: 	: 	: 	: 	: 	24337 	23426 	22176 	21626 	23112 	25541 	: 	: 
ICCS03012,PER_SUSP,M,NR,UKN	: 	: 	: 	: 	: 	: 	315 	307 	318 	299 	337 	248 	174 	: 
ICCS03012,PER_SUSP,M,NR,XK	69 	56 	3 	40 	46 	47 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,AL	4.96 	6.12 	5.11 	4.45 	4.82 	5.42 	5.61 	3.84 	: 	: 	1.76 	: 	2.21 	0.94 
ICCS03012,PER_SUSP,M,P_HTHAB,AT	40.19 	37.59 	42.74 	49.05 	47.05 	51.60 	35.30 	37.15 	36.50 	47.53 	45.75 	40.60 	58.20 	68.52 
ICCS03012,PER_SUSP,M,P_HTHAB,BE	14.93 	15.52 	18.00 	15.92 	15.51 	13.45 	11.60 	54.70 	53.98 	52.40 	56.33 	58.02 	60.13 	59.64 
ICCS03012,PER_SUSP,M,P_HTHAB,BG	10.75 	9.79 	9.39 	10.29 	10.00 	6.67 	7.11 	7.04 	7.16 	7.54 	8.41 	9.19 	8.72 	9.94 
ICCS03012,PER_SUSP,M,P_HTHAB,CH	13.62 	12.79 	11.75 	12.29 	45.45 	32.46 	32.03 	33.76 	31.42 	1.03 	0.81 	0.91 	0.91 	0.80 
ICCS03012,PER_SUSP,M,P_HTHAB,CY	1.37 	0.46 	0.23 	0.24 	0.24 	0.48 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,CZ	11.22 	9.24 	10.39 	10.29 	10.54 	10.41 	9.37 	9.80 	10.46 	6.32 	6.43 	5.58 	4.59 	5.11 
ICCS03012,PER_SUSP,M,P_HTHAB,DE	54.92 	54.19 	55.55 	56.16 	45.55 	47.34 	44.25 	45.72 	46.22 	46.49 	49.49 	49.14 	67.74 	84.03 
ICCS03012,PER_SUSP,M,P_HTHAB,DK	6.27 	6.56 	6.78 	5.46 	5.03 	4.72 	4.27 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,ES	32.57 	23.98 	27.31 	29.54 	26.63 	14.92 	22.14 	21.84 	19.54 	19.42 	20.44 	17.96 	18.36 	20.99 
ICCS03012,PER_SUSP,M,P_HTHAB,EU_V	41.02 	35.46 	36.97 	35.97 	31.39 	29.75 	24.21 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,FI	62.73 	49.59 	53.50 	40.45 	41.88 	44.61 	48.11 	51.37 	47.81 	69.52 	50.33 	41.56 	50.35 	54.76 
ICCS03012,PER_SUSP,M,P_HTHAB,FR	80.59 	63.79 	64.57 	58.86 	50.49 	48.08 	34.70 	32.66 	30.15 	29.58 	23.79 	23.53 	24.81 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,HR	9.67 	6.75 	7.20 	6.31 	5.98 	7.32 	8.04 	5.71 	7.63 	6.59 	7.73 	7.57 	11.89 	14.93 
ICCS03012,PER_SUSP,M,P_HTHAB,HU	: 	: 	: 	: 	: 	: 	3.47 	4.29 	9.31 	9.76 	9.59 	11.29 	6.57 	3.77 
ICCS03012,PER_SUSP,M,P_HTHAB,IE	: 	17.90 	16.51 	11.75 	20.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,IT	: 	: 	: 	: 	: 	: 	13.57 	14.62 	14.91 	14.99 	15.88 	15.59 	15.45 	16.07 
ICCS03012,PER_SUSP,M,P_HTHAB,LI	: 	: 	: 	: 	: 	37.51 	86.24 	54.35 	: 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,LT	3.65 	3.45 	5.56 	5.47 	7.39 	9.03 	11.74 	11.58 	9.13 	10.26 	14.14 	10.96 	10.11 	7.93 
ICCS03012,PER_SUSP,M,P_HTHAB,LU	: 	0.00 	: 	0.00 	58.66 	54.29 	73.06 	83.96 	83.08 	87.08 	68.34 	72.57 	82.50 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,LV	11.08 	10.56 	10.06 	11.80 	10.16 	7.08 	14.49 	13.19 	11.66 	14.87 	13.92 	9.48 	9.47 	11.72 
ICCS03012,PER_SUSP,M,P_HTHAB,ME	7.82 	4.55 	10.40 	3.90 	3.90 	4.87 	4.88 	6.84 	6.84 	5.88 	8.49 	12.12 	9.54 	0.00 
ICCS03012,PER_SUSP,M,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	10.65 	: 	: 	: 	: 	: 
ICCS03012,PER_SUSP,M,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	26.54 	17.89 	19.06 	23.59 	20.35 	24.25 	19.06 	14.30 
ICCS03012,PER_SUSP,M,P_HTHAB,NL	7.83 	7.54 	9.47 	10.30 	9.72 	10.63 	9.65 	10.41 	12.15 	48.96 	50.52 	54.85 	60.81 	67.99 
ICCS03012,PER_SUSP,M,P_HTHAB,NO	16.88 	17.62 	18.17 	18.25 	18.53 	19.51 	14.81 	15.15 	15.30 	7.52 	8.82 	7.90 	6.94 	8.04 
ICCS03012,PER_SUSP,M,P_HTHAB,PL	1.05 	0.95 	1.09 	0.95 	1.07 	1.18 	0.98 	0.97 	0.97 	: 	: 	: 	: 	: 
